"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"C1";"1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C2";"0.01uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C3";"0.2uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C4";"0.2uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C5";"0.2uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C6";"0.2uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C7";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C8";"0.1uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"C9";"10uF";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";
"D1";"1N4003";"1N4004";"DO41-10";"DIODE";"";"";"";"";
"IC1";"N5556";"MAX430CPA";"DIL08";"OP AMP";"";"";"unknown";"unknown";
"IC2";"N5556";"MAX430CPA";"DIL08";"OP AMP";"";"";"unknown";"unknown";
"IC3";"LM741P";"LM741P";"DIL08";"OP AMP";"";"";"";"";
"IC4";"LM741P";"LM741P";"DIL08";"OP AMP";"";"";"";"";
"IC5";"LM741P";"LM741P";"DIL08";"OP AMP";"";"";"";"";
"IC6";"LM741P";"LM741P";"DIL08";"OP AMP";"";"";"";"";
"IC7";"ICL7660CSA";"ICL7660CSA";"SO08";"VOLTAGE CONVERTER";"MAXIM";"ICL7660CSA";"9724710";"34C3732";
"J1";"SPARKFUN_POWER_JACKPTH";"SPARKFUN_POWER_JACKPTH";"SPARKFUN_POWER_JACK_PTH";"Power Jack";"";"";"";"";
"R1";"1k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R2";"47k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R3";"47k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R4";"3.9k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R5";"3.9k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R6";"3.9k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R7";"100k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R8";"3.3k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R9";"5k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R10";"470k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R11";"1k";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";"";"";"";
"R12";"100k";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";"";"";"";
"R13";"1M OHM";"PC16S";"PC16S";"POTENTIOMETER";"";"";"4452940";"unknown";
"R16";"250K";"PC16S";"PC16S";"POTENTIOMETER";"";"";"4452940";"unknown";
"R17";"56k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R18";"39k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R19";"56k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R20";"39k";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R21";"1M";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R22";"4.7M";"SPARKFUN_RESISTOR1206";"SPARKFUN_1206";"Resistor";"";"";"";"";
"R23";"PC16T";"PC16T";"PC16T";"POTENTIOMETER";"";"";"unknown";"unknown";
"S1";"";"M9040P";"M9040P";"TOGGLE SWITCH";"";"";"";"";
"X1";"227161-8";"227161-8";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"";"";"unknown";"unknown";
"X2";"227161-8";"227161-8";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"";"";"unknown";"unknown";
"X3";"227161-8";"227161-8";"AMP_227161";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"";"";"unknown";"unknown";
