Part	Value	Device	Package	Description	Link
C1	1uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R1E105K085AA/445-1592-1-ND/603227
C2	0.01uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R2J103K115AA/445-2291-1-ND/789800
C3	0.2uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R1E224M/445-4017-1-ND/1965663
C4	0.2uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R1E224M/445-4017-1-ND/1965664
C5	0.2uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R1E224M/445-4017-1-ND/1965665
C6	0.2uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R1E224M/445-4017-1-ND/1965666
C7	0.1uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R2A104M160AA/445-1378-1-ND/567630
C8	0.1uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216X7R2A104M160AA/445-1378-1-ND/567630
C9	10uF	C-EUC1206	C1206	"CAPACITOR,"	http://www.digikey.com/product-detail/en/C3216Y5V1A106Z%2F0.85/445-1593-1-ND/603228
D1	1N4003	1N4004	DO41-10	DIODE	http://www.digikey.com/product-detail/en/1N4003-E3%2F54/1N4003-E3%2F54GICT-ND/868986
IC1	N5556	MAX430CPA	DIL08	OP	http://www.digikey.com/product-detail/en/TC7652CPA/TC7652CPA-ND/115293
IC2	N5556	MAX430CPA	DIL08	OP	http://www.digikey.com/product-detail/en/TC7652CPA/TC7652CPA-ND/115293
IC3	LM741P	LM741P	DIL08	OP	http://www.digikey.com/product-detail/en/LM741CN%2FNOPB/LM741CNNS%2FNOPB-ND/6322
IC4	LM741P	LM741P	DIL08	OP	http://www.digikey.com/product-detail/en/LM741CN%2FNOPB/LM741CNNS%2FNOPB-ND/6322
IC5	LM741P	LM741P	DIL08	OP	http://www.digikey.com/product-detail/en/LM741CN%2FNOPB/LM741CNNS%2FNOPB-ND/6322
IC6	LM741P	LM741P	DIL08	OP	http://www.digikey.com/product-detail/en/LM741CN%2FNOPB/LM741CNNS%2FNOPB-ND/6322
IC7	ICL7660CSA	ICL7660CSA	SO08	VOLTAGE	http://www.digikey.com/product-detail/en/ICL7660CPA/ICL7660CPA-ND/672081
J1	SPARKFUN_POWER_JACKPTH	SPARKFUN_POWER_JACKPTH	SPARKFUN_POWER_JACK_PTH	Power	http://www.digikey.com/product-detail/en/PJ-002B/CP-002B-ND/96965
R1	1k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R2	47k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R3	47k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R4	3.9k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R5	3.9k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R6	3.9k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R7	100k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R8	3.3k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R9	5k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R10	470k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R11	1k	POTENTIOMETER_PT-10	PT-10	Potentiometer	http://www.digikey.com/product-detail/en/3352E-1-102LF/3352E-102LF-ND/1088308
R12	100k	POTENTIOMETER_PT-10	PT-10	Potentiometer	http://www.digikey.com/product-detail/en/3352E-1-104LF/3352E-104LF-ND/1088310
R13	1M	OHM	PC16S	PC16S	http://www.digikey.com/product-detail/en/270X232A105B1A1/CT2211-ND/203792
R16	250K	PC16S	PC16S	POTENTIOMETER	http://www.digikey.com/product-detail/en/270X232A254B1A1/CT2209-ND/203790
R17	56k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R18	39k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R19	56k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R20	39k	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R21	1M	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R22	4.7M	SPARKFUN_RESISTOR1206	SPARKFUN_1206	Resistor	
R23	PC16T	PC16T	PC16T	POTENTIOMETER	http://www.digikey.com/product-detail/en/270X232A254B1A1/CT2209-ND/203788
R23	PC16T	PC16T	PC16T	POTENTIOMETER	http://www.digikey.com/product-detail/en/270X232A254B1A1/CT2209-ND/203789
R23	PC16T	PC16T	PC16T	POTENTIOMETER	http://www.digikey.com/product-detail/en/270X232A254B1A1/CT2209-ND/203790
S1	M9040P	M9040P	TOGGLE	SWITCH	
X1	227161-8	227161-8	AMP_227161	"JACK,"	
X2	227161-8	227161-8	AMP_227161	"JACK,"	
X3	227161-8	227161-8	AMP_227161	"JACK,"	
