"C1","0.1uF","0603-CAP","84963","83439","90","0"
"LED1","NA","CHIPLED_1206","104140","93980","180","0"
"LED2","NA","CHIPLED_1206","106680","93980","0","0"
"LED3","NA","CHIPLED_1206","109220","93980","180","0"
"LED4","NA","CHIPLED_1206","111760","93980","0","0"
"LED5","NA","CHIPLED_1206","114300","93980","180","0"
"LED6","NA","CHIPLED_1206","116840","93980","0","0"
"LED7","NA","CHIPLED_1206","114300","76835","180","0"
"LED8","NA","CHIPLED_1206","116840","76835","0","0"
"LED9","NA","CHIPLED_1206","114300","71120","180","0"
"LED10","NA","CHIPLED_1206","116840","71120","0","0"
"LED11","NA","CHIPLED_1206","104140","88265","180","0"
"LED12","NA","CHIPLED_1206","106680","88265","0","0"
"LED13","NA","CHIPLED_1206","109220","88265","180","0"
"LED14","NA","CHIPLED_1206","111760","88265","0","0"
"LED15","NA","CHIPLED_1206","114300","88265","180","0"
"LED16","NA","CHIPLED_1206","116840","88265","0","0"
"LED17","NA","CHIPLED_1206","109220","71120","180","0"
"LED18","NA","CHIPLED_1206","111760","71120","0","0"
"LED19","NA","CHIPLED_1206","104140","82550","180","0"
"LED20","NA","CHIPLED_1206","106680","82550","0","0"
"LED21","NA","CHIPLED_1206","109220","82550","180","0"
"LED22","NA","CHIPLED_1206","111760","82550","0","0"
"LED23","NA","CHIPLED_1206","114300","82550","180","0"
"LED24","NA","CHIPLED_1206","116840","82550","0","0"
"LED25","NA","CHIPLED_1206","104140","76835","180","0"
"LED26","NA","CHIPLED_1206","106680","76835","0","0"
"LED27","NA","CHIPLED_1206","109220","76835","180","0"
"LED28","NA","CHIPLED_1206","111760","76835","0","0"
"LED29","NA","CHIPLED_1206","104140","71120","180","0"
"LED30","NA","CHIPLED_1206","106680","71120","0","0"
"R1","220","1206","97790","86360","0","0"
"R2","220","1206","97790","88900","0","0"
"R3","220","1206","97790","78740","0","0"
"R4","220","1206","97790","81280","0","0"
"R5","220","1206","97790","83786","0","0"
"R6","NA","1206","91440","76200","270","0"
"R7","220","1206","97790","76200","0","0"
"S1","NA","TACTILE_SWITCH_SMD","91440","69850","180","0"
"S2","NA","TACTILE_SWITCH_SMD","91440","96012","0","0"
"S3","NA","TACTILE_SWITCH_SMD","91440","90170","0","0"
"U$1","tiny2313","MLF20","91440","82550","45","0"
"BAT1","NA","SPARKFUN_BATTCON_20MM","92202","82423","90","1"
"SG1","NA","BUZZER-CCV","118618","83312","90","1"
